                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                 2.4942,                 3.0548,                  2.997,                0.08823,                0.08846,                0.06861,                0.02084,                 2.4691,                 3.4657,                 3.1397,              0.0014195,              0.0014195,              0.0014195
                     32,                 2.4961,                 2.9193,                 2.8989,                0.07925,                0.12519,                0.08069,                0.02734,                 2.4255,                 3.4771,                 3.1019,              0.0014112,              0.0014112,              0.0014112
                     33,                 2.3957,                 2.8856,                 2.8898,                0.10408,                0.09057,                0.05903,                0.01983,                 2.4103,                 3.5258,                 3.1107,              0.0014029,              0.0014029,              0.0014029
                     34,                 2.4508,                 2.9272,                 2.8816,                0.06794,                0.21255,                0.05029,                0.01611,                 2.4745,                 3.4918,                 3.1063,              0.0013947,              0.0013947,              0.0013947
                     35,                 2.4062,                 2.9185,                 2.8721,                0.08165,                0.07308,                0.05918,                0.01972,                  2.812,                 4.6181,                 3.3992,              0.0013864,              0.0013864,              0.0013864
                     36,                 2.3387,                 2.8914,                 2.8347,                0.13087,                0.09057,                0.06448,                  0.023,                 2.4285,                 4.6893,                 3.0191,              0.0013782,              0.0013782,              0.0013782
                     37,                  2.311,                 2.8806,                 2.8017,                0.09478,                 0.1371,                0.06656,                0.02055,                 2.4526,                 4.2632,                 3.0556,              0.0013699,              0.0013699,              0.0013699
                     38,                 2.4127,                  2.941,                 2.9019,                  0.158,                0.11508,                0.07325,                0.02184,                 2.5816,                 4.0733,                 3.1903,              0.0013617,              0.0013617,              0.0013617
                     39,                 2.3805,                 2.9421,                 2.8617,                0.10486,                 0.1773,                 0.0818,                0.02739,                 2.3557,                 3.1838,                 2.9534,              0.0013534,              0.0013534,              0.0013534
                     40,                 2.3075,                 2.8915,                 2.8062,                0.07993,                0.13462,                0.06859,                0.02085,                 2.4522,                 4.7196,                 3.2195,              0.0013452,              0.0013452,              0.0013452
                     41,                 2.3667,                 2.9236,                 2.8709,                0.07338,                0.17624,                0.06944,                0.02288,                 2.4723,                 3.9017,                 3.2635,              0.0013369,              0.0013369,              0.0013369
                     42,                 2.2938,                 2.8703,                 2.7808,                0.12888,                0.25475,                0.07559,                0.02396,                  2.523,                 3.0858,                 3.1203,              0.0013287,              0.0013287,              0.0013287
                     43,                  2.308,                 2.8826,                 2.7966,                0.12652,                0.22496,                0.08487,                0.02771,                 2.3956,                 3.2146,                  2.979,              0.0013204,              0.0013204,              0.0013204
                     44,                 2.2643,                 2.9133,                  2.785,                0.10372,                0.09932,                0.05658,                0.01646,                  2.533,                 5.2653,                 3.1643,              0.0013122,              0.0013122,              0.0013122
                     45,                 2.2968,                 3.0335,                 2.7873,                0.14143,                0.13326,                0.06447,                0.02056,                 2.4005,                 5.5091,                 3.0236,              0.0013039,              0.0013039,              0.0013039
                     46,                 2.2727,                  2.873,                  2.736,                 0.1394,                0.18115,                0.10849,                0.03726,                  2.335,                 3.3905,                 2.9391,              0.0012957,              0.0012957,              0.0012957
                     47,                 2.1953,                 2.7786,                 2.7295,                0.08646,                0.20498,                0.07397,                0.02668,                 2.3399,                 3.2797,                 2.8663,              0.0012874,              0.0012874,              0.0012874
                     48,                 2.1411,                 2.7372,                 2.6745,                0.18375,                0.08884,                0.07911,                0.02653,                 2.3606,                 3.2706,                 2.8878,              0.0012792,              0.0012792,              0.0012792
                     49,                 2.2345,                 2.7508,                 2.7524,                0.13171,                0.22285,                0.09245,                0.03238,                 2.2775,                 3.0696,                  2.829,              0.0012709,              0.0012709,              0.0012709
                     50,                 2.2161,                 2.6697,                  2.692,                0.14948,                 0.3583,                0.11894,                0.04213,                 2.2469,                 2.9851,                  2.793,              0.0012627,              0.0012627,              0.0012627
                     51,                 2.2069,                  2.702,                  2.684,                0.11674,                0.23499,                0.11503,                0.04103,                 2.1587,                 3.0553,                 2.7081,              0.0012544,              0.0012544,              0.0012544
                     52,                 2.1763,                 2.6971,                 2.6838,                0.21816,                0.08945,                0.07454,                0.02725,                 2.1713,                  4.166,                 2.6853,              0.0012462,              0.0012462,              0.0012462
                     53,                 2.1907,                 2.7265,                  2.642,                0.10156,                0.29902,                0.07566,                0.02636,                 2.1721,                 4.8726,                 2.7139,              0.0012379,              0.0012379,              0.0012379
                     54,                 2.1531,                 2.6358,                 2.6543,                0.15363,                0.20354,                0.10871,                0.03109,                 2.4125,                 4.0103,                 3.0932,              0.0012297,              0.0012297,              0.0012297
                     55,                 2.1361,                 2.7249,                 2.6626,                0.13257,                0.28296,                0.13191,                0.04538,                 2.3084,                 3.7215,                  2.984,              0.0012214,              0.0012214,              0.0012214
                     56,                 2.1496,                 2.6011,                 2.5754,                0.10271,                0.29495,                0.11085,                0.03662,                 2.4003,                  3.447,                  2.974,              0.0012132,              0.0012132,              0.0012132
                     57,                 2.1577,                 2.7337,                  2.637,                0.14455,                0.34012,                0.11524,                0.03747,                 2.3705,                 3.0502,                 2.9156,              0.0012049,              0.0012049,              0.0012049
                     58,                 2.1763,                 2.5791,                 2.5984,                0.22338,                0.29148,                0.16093,                0.05497,                  2.385,                 2.9576,                 2.9419,              0.0011967,              0.0011967,              0.0011967
                     59,                 2.0812,                 2.6223,                 2.5419,                0.24686,                0.31448,                0.17575,                0.06032,                 2.2096,                 2.8087,                 2.8043,              0.0011884,              0.0011884,              0.0011884
                     60,                 2.0106,                 2.5061,                 2.5328,                0.19797,                 0.3417,                0.19559,                0.07312,                 2.0747,                 2.6317,                 2.6179,              0.0011802,              0.0011802,              0.0011802
                     61,                 2.0335,                 2.5633,                 2.5231,                0.17836,                0.38824,                0.19105,                0.07089,                 2.0524,                 2.7555,                 2.6084,              0.0011719,              0.0011719,              0.0011719
                     62,                 2.0819,                 2.5637,                 2.5686,                0.19261,                0.28216,                 0.1971,                0.07236,                 2.1295,                 2.7347,                 2.6807,              0.0011636,              0.0011636,              0.0011636
                     63,                  2.017,                 2.4021,                 2.5271,                0.29288,                0.34985,                0.25406,                0.10269,                 1.9167,                 2.4677,                 2.4891,              0.0011554,              0.0011554,              0.0011554
                     64,                 2.0116,                 2.4651,                  2.479,                0.28881,                0.38188,                0.26127,                0.10135,                 1.9238,                 2.3918,                 2.5216,              0.0011471,              0.0011471,              0.0011471
                     65,                 2.0383,                 2.4849,                 2.5314,                0.30301,                0.36916,                0.27288,                0.10991,                 1.9862,                 2.3477,                 2.5661,              0.0011389,              0.0011389,              0.0011389
                     66,                 2.0071,                 2.4436,                 2.5333,                0.28869,                0.30649,                0.23954,                0.09413,                 1.9974,                 2.4095,                 2.5466,              0.0011306,              0.0011306,              0.0011306
                     67,                 1.9703,                 2.4558,                  2.467,                0.23651,                0.36938,                0.22404,                0.08991,                 1.9256,                 2.4045,                 2.4773,              0.0011224,              0.0011224,              0.0011224
                     68,                 2.0081,                 2.4671,                 2.4768,                 0.2212,                0.35852,                0.22135,                0.08845,                 1.9992,                 2.5214,                 2.5557,              0.0011141,              0.0011141,              0.0011141
                     69,                 1.9234,                 2.3474,                 2.4467,                0.22015,                0.29382,                 0.1809,                0.07169,                 2.0972,                 2.7474,                  2.689,              0.0011059,              0.0011059,              0.0011059
                     70,                 2.0214,                 2.4262,                 2.4146,                0.27222,                0.29435,                0.21505,                0.08608,                 1.9971,                 2.5574,                 2.6036,              0.0010976,              0.0010976,              0.0010976
                     71,                 2.0757,                 2.4656,                 2.5185,                0.32512,                0.36456,                0.25851,                 0.0949,                 2.0699,                 2.6199,                 2.5934,              0.0010894,              0.0010894,              0.0010894
                     72,                 1.9466,                 2.3651,                 2.4637,                0.30039,                0.42541,                  0.279,                0.11928,                 1.8797,                  2.453,                 2.4548,              0.0010811,              0.0010811,              0.0010811
                     73,                 2.0003,                 2.3644,                 2.4782,                0.30499,                0.35754,                0.25718,                0.10093,                 1.9638,                  2.541,                 2.5573,              0.0010729,              0.0010729,              0.0010729
                     74,                 1.8541,                 2.3351,                 2.3674,                0.28558,                0.35279,                 0.2276,                0.08968,                 1.9785,                 2.6267,                   2.59,              0.0010646,              0.0010646,              0.0010646
                     75,                 1.9284,                 2.4132,                 2.4429,                0.31295,                0.28763,                0.22468,                0.08725,                 2.0394,                 2.6419,                 2.5727,              0.0010564,              0.0010564,              0.0010564
                     76,                 1.9033,                 2.3713,                  2.428,                0.27317,                0.30023,                 0.1981,                0.07734,                 2.0473,                 2.7358,                 2.6405,              0.0010481,              0.0010481,              0.0010481
                     77,                  1.945,                  2.357,                 2.4066,                0.28533,                 0.3233,                0.23363,                   0.09,                 2.0412,                 2.5724,                 2.6044,              0.0010399,              0.0010399,              0.0010399
                     78,                 1.9348,                 2.3048,                 2.4114,                0.37124,                0.37164,                 0.3027,                0.12052,                 1.8919,                 2.2409,                 2.4324,              0.0010316,              0.0010316,              0.0010316
                     79,                 1.9011,                 2.3867,                 2.3559,                0.26589,                0.42926,                0.24941,                0.09522,                 2.0448,                 2.3611,                 2.5219,              0.0010234,              0.0010234,              0.0010234
                     80,                 1.9288,                 2.3332,                 2.4166,                0.30779,                0.36629,                0.27121,                0.11374,                 2.0151,                 2.3108,                  2.456,              0.0010151,              0.0010151,              0.0010151
                     81,                 1.8888,                 2.3378,                 2.3561,                 0.3361,                0.35128,                0.26493,                0.10989,                 1.9628,                 2.3373,                 2.4551,              0.0010069,              0.0010069,              0.0010069
                     82,                 1.8543,                 2.3097,                 2.3753,                0.27789,                0.38452,                0.25241,                 0.1023,                 1.8977,                 2.3917,                 2.4688,             0.00099862,             0.00099862,             0.00099862
                     83,                  1.876,                 2.3206,                 2.3328,                0.31545,                0.43205,                 0.2941,                0.12833,                 1.7699,                  2.274,                 2.3195,             0.00099036,             0.00099036,             0.00099036
                     84,                 1.8782,                 2.2725,                 2.3793,                0.28065,                0.41588,                0.28678,                0.12329,                 1.8078,                 2.2676,                  2.343,             0.00098211,             0.00098211,             0.00098211
