                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.224,                 4.0373,                 4.2622,                0.00388,                0.43032,                0.00657,                0.00214,                 3.0656,                 3.9958,                 4.1584,             0.00010002,             0.00010002,             0.00010002
                      2,                 3.2899,                 3.9392,                 4.1952,                0.00399,                0.42157,                0.01422,                0.00342,                 3.0619,                 3.9948,                 4.1535,             0.00021564,             0.00021564,             0.00021564
                      3,                   3.19,                 3.8799,                 4.1521,                0.00416,                0.43801,                0.01386,                0.00383,                 3.0527,                 3.9919,                 4.1433,              0.0003301,              0.0003301,              0.0003301
                      4,                 3.1995,                 3.8128,                 4.1274,                0.00408,                0.42926,                0.01294,                 0.0035,                 3.0398,                 3.9893,                 4.1319,             0.00044341,             0.00044341,             0.00044341
                      5,                 3.1393,                  3.687,                 4.0751,                0.00427,                0.44186,                 0.0142,                0.00541,                  3.012,                 3.9944,                 4.1034,             0.00055556,             0.00055556,             0.00055556
                      6,                 3.2137,                  3.648,                 3.9674,                0.00411,                0.43311,                0.01356,                0.00368,                 2.9986,                 3.9808,                 4.0703,             0.00066655,             0.00066655,             0.00066655
                      7,                 3.1172,                 3.6751,                 3.8736,                0.00378,                0.41282,                0.01201,                0.00376,                 3.0408,                 4.2649,                 4.0163,              0.0007764,              0.0007764,              0.0007764
                      8,                 3.1542,                 3.5975,                 3.8129,                0.00334,                0.40023,                0.00795,                0.00262,                 3.1247,                 4.1059,                 4.0152,             0.00088508,             0.00088508,             0.00088508
                      9,                 3.0462,                 3.5258,                  3.691,                0.00281,                 0.3733,                0.00384,                0.00122,                 3.2155,                 4.3796,                 4.0523,             0.00099261,             0.00099261,             0.00099261
                     10,                 2.9878,                 3.4988,                 3.6355,                0.00371,                0.40513,                0.00478,                0.00164,                 3.1204,                 3.9128,                 4.1335,               0.001099,               0.001099,               0.001099
                     11,                 2.9979,                 3.4414,                  3.618,                0.00367,                0.39427,                0.00448,                0.00149,                 3.1693,                 3.9271,                 4.0871,              0.0012042,              0.0012042,              0.0012042
                     12,                 2.8844,                 3.4088,                 3.4786,                0.00322,                0.41772,                0.00605,                0.00178,                 3.0922,                 4.5261,                 3.8131,              0.0013083,              0.0013083,              0.0013083
                     13,                 2.9147,                 3.5095,                 3.5424,                0.00377,                0.44012,                0.01305,                0.00388,                 3.0607,                 4.6883,                 3.6974,              0.0014112,              0.0014112,              0.0014112
                     14,                 2.9423,                 3.4981,                 3.5108,                   0.02,                0.11554,                0.00883,                0.00284,                 3.0402,                 3.8153,                 3.8984,              0.0015129,              0.0015129,              0.0015129
                     15,                  2.846,                 3.4774,                 3.4196,                0.00548,                  0.331,                0.00473,                0.00163,                 3.0729,                 4.1542,                 4.3834,              0.0015515,              0.0015515,              0.0015515
                     16,                 2.6989,                 3.4034,                 3.3491,                0.53037,                0.02451,                0.00921,                0.00302,                 3.0457,                 4.0221,                 4.4361,              0.0015432,              0.0015432,              0.0015432
                     17,                 2.8387,                 3.4783,                 3.4022,                0.01044,                0.04412,                0.00599,                0.00184,                  3.037,                 4.4244,                 4.4445,               0.001535,               0.001535,               0.001535
                     18,                 2.6586,                 3.3948,                 3.2696,                0.06513,                0.05777,                0.01383,                0.00451,                 2.9158,                 4.0738,                 4.1342,              0.0015267,              0.0015267,              0.0015267
                     19,                 2.8031,                 3.3643,                 3.3155,                 0.0403,                0.02345,                0.00773,                0.00248,                 2.9341,                  4.442,                  4.229,              0.0015185,              0.0015185,              0.0015185
                     20,                 2.6854,                 3.2307,                 3.1641,                0.00722,                0.11765,                0.00802,                 0.0025,                 2.8357,                 4.3987,                 3.6685,              0.0015102,              0.0015102,              0.0015102
                     21,                 2.7246,                 3.2663,                 3.2053,                0.00612,                0.08824,                0.00715,                0.00225,                 2.8402,                 4.2575,                 3.8274,               0.001502,               0.001502,               0.001502
                     22,                 2.8252,                 3.2773,                 3.1912,                0.02586,                0.08922,                0.01217,                0.00362,                 2.7449,                 5.0783,                 3.3996,              0.0014937,              0.0014937,              0.0014937
                     23,                 2.7122,                 3.1654,                 3.1228,                0.01671,                0.05211,                0.00857,                0.00221,                 3.1054,                 5.0459,                 4.8231,              0.0014855,              0.0014855,              0.0014855
                     24,                 2.6095,                 3.1407,                 3.0942,                0.02533,                0.26139,                0.02176,                0.00599,                 2.7038,                 4.1089,                 3.3613,              0.0014772,              0.0014772,              0.0014772
                     25,                 2.5465,                 3.1127,                 3.0581,                0.03136,                0.23228,                0.02642,                0.00795,                 2.6518,                   4.81,                  3.246,               0.001469,               0.001469,               0.001469
                     26,                  2.623,                  3.061,                 3.0515,                0.04456,                0.11787,                0.03739,                0.00955,                 2.8613,                 3.6837,                 3.7619,              0.0014607,              0.0014607,              0.0014607
                     27,                 2.6399,                 3.1176,                 3.0743,                0.03923,                0.14027,                0.03762,                0.01178,                 2.7569,                  3.774,                 3.4849,              0.0014525,              0.0014525,              0.0014525
                     28,                 2.5719,                 3.0511,                 3.0102,                0.02746,                0.08884,                0.02075,                0.00741,                 2.5794,                  21.69,                 3.2058,              0.0014442,              0.0014442,              0.0014442
                     29,                 2.5659,                  3.059,                 2.9851,                0.03556,                0.05807,                0.02503,                0.00845,                 2.6172,                 15.178,                  3.278,               0.001436,               0.001436,               0.001436
                     30,                 2.5062,                  2.946,                 2.9533,                0.01049,                0.13816,                0.00837,                0.00266,                 2.7059,                 6.5764,                 3.3254,              0.0014277,              0.0014277,              0.0014277
