                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     13,                 3.3029,                 3.9379,                 4.1472,                0.00217,                0.31843,                0.02421,                0.00638,                 3.1249,                 4.2655,                  4.146,             0.00025172,             0.00025172,             0.00025172
                     14,                 3.2657,                  3.895,                  4.165,                0.00209,                0.30623,                0.01639,                0.00491,                 3.1217,                 4.2656,                 4.1438,               0.000257,               0.000257,               0.000257
                     15,                 3.2403,                 3.8552,                 4.1601,                 0.0021,                0.30623,                0.01639,                0.00561,                 3.1173,                 4.2656,                 4.1411,             0.00026009,             0.00026009,             0.00026009
                     16,                 3.2603,                 3.8155,                 4.1401,                0.00207,                0.30623,                0.03413,                0.01003,                 3.1121,                 4.2654,                 4.1379,             0.00026097,             0.00026097,             0.00026097
                     17,                 3.1768,                 3.7809,                 4.1378,                0.00215,                0.31843,                0.04006,                0.01101,                 3.1073,                  4.265,                 4.1349,             0.00025965,             0.00025965,             0.00025965
                     18,                 3.1955,                 3.7765,                 4.1367,                0.00214,                0.31843,                0.02044,                0.00693,                 3.1016,                 4.2644,                 4.1316,             0.00025613,             0.00025613,             0.00025613
                     19,                 3.3535,                 3.7708,                 4.1394,                0.00244,                0.36721,                0.02043,                0.00689,                 3.0965,                 4.2637,                 4.1284,             0.00025042,             0.00025042,             0.00025042
                     20,                 3.3366,                 3.8002,                 4.1182,                0.00259,                 0.3916,                0.03164,                0.00863,                 3.0905,                 4.2629,                 4.1249,              0.0002425,              0.0002425,              0.0002425
                     21,                 2.8432,                 4.2051,                 4.1369,                0.00251,                 0.3794,                0.03241,                0.00724,                 3.0861,                 4.2622,                 4.1215,             0.00023238,             0.00023238,             0.00023238
                     22,                 2.9585,                 4.1167,                 4.1207,                0.00258,                 0.3916,                0.03022,                0.00779,                 3.0812,                 4.2629,                 4.1184,             0.00022006,             0.00022006,             0.00022006
                     23,                 2.9803,                 3.9927,                 4.1171,                0.00251,                 0.3794,                0.02852,                 0.0073,                 3.0777,                 4.2626,                 4.1158,             0.00020554,             0.00020554,             0.00020554
                     24,                 2.8275,                 3.9475,                 4.1152,                0.00235,                0.35501,                0.02835,                0.00677,                 3.0756,                 4.2604,                  4.114,             0.00018882,             0.00018882,             0.00018882
                     25,                  3.122,                 4.1982,                 4.0897,                0.00236,                0.35501,                0.02216,                 0.0054,                 3.0761,                 4.2582,                 4.1132,              0.0001699,              0.0001699,              0.0001699
                     26,                 2.8534,                 3.9386,                 4.0444,                0.00251,                 0.3794,                0.00622,                0.00228,                 3.0781,                 4.2559,                 4.1133,             0.00014878,             0.00014878,             0.00014878
                     27,                 2.9515,                 4.1065,                 4.0662,                0.00259,                 0.3916,                0.00615,                 0.0022,                   3.08,                 4.2537,                 4.1137,             0.00012546,             0.00012546,             0.00012546
                     28,                  3.118,                 3.9598,                 4.0618,                0.00259,                 0.3916,                0.00615,                 0.0022,                   3.08,                 4.2537,                 4.1137,             9.9937e-05,             9.9937e-05,             9.9937e-05
                     29,                 2.9284,                 4.0151,                  4.067,                0.00259,                 0.3916,                0.00566,                0.00193,                 3.0806,                 4.2517,                 4.1136,             7.2214e-05,             7.2214e-05,             7.2214e-05
                     30,                 2.9506,                 4.0888,                 4.0709,                0.00259,                 0.3916,                 0.0051,                0.00188,                  3.081,                 4.2496,                 4.1134,             4.2292e-05,             4.2292e-05,             4.2292e-05
