                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.333,                 4.0909,                 4.2659,                0.00417,                0.31843,                0.00394,                0.00158,                 3.1453,                 4.2532,                 4.1589,              1.667e-05,              1.667e-05,              1.667e-05
                      2,                  3.229,                 4.0414,                 4.2549,                0.00423,                0.31843,                0.00495,                0.00184,                 3.1452,                 4.2538,                 4.1587,              4.836e-05,              4.836e-05,              4.836e-05
                      3,                 3.2827,                 4.0072,                 4.2897,                0.00395,                0.30623,                0.00533,                0.00208,                  3.145,                 4.2546,                 4.1585,             7.7849e-05,             7.7849e-05,             7.7849e-05
                      4,                 3.2759,                 3.9583,                 4.2638,                0.00317,                0.31843,                0.00608,                0.00181,                 3.1454,                  4.254,                 4.1581,             0.00010514,             0.00010514,             0.00010514
                      5,                 3.4242,                 3.9947,                  4.242,                0.00191,                0.29065,                0.00701,                0.00197,                 3.1446,                 4.2548,                 4.1574,             0.00013023,             0.00013023,             0.00013023
                      6,                 3.2592,                 3.9669,                 4.2223,                0.00253,                 0.3794,                0.00719,                0.00233,                 3.1428,                 4.2576,                 4.1566,             0.00015311,             0.00015311,             0.00015311
                      7,                 3.2683,                 3.9688,                 4.2014,                0.00218,                0.31843,                0.00729,                0.00216,                 3.1404,                 4.2598,                 4.1555,              0.0001738,              0.0001738,              0.0001738
                      8,                 3.2063,                 3.9788,                 4.1599,                0.00218,                0.31843,                0.00737,                0.00256,                 3.1386,                   4.26,                 4.1541,             0.00019229,             0.00019229,             0.00019229
                      9,                 3.3247,                 3.9894,                 4.1834,                0.00212,                0.30623,                0.00707,                0.00257,                 3.1366,                 4.2617,                 4.1532,             0.00020858,             0.00020858,             0.00020858
                     10,                  3.228,                 3.9447,                 4.2043,                0.00225,                0.33062,                0.00935,                0.00259,                 3.1347,                 4.2619,                 4.1518,             0.00022266,             0.00022266,             0.00022266
                     11,                 3.2963,                 3.9515,                  4.172,                0.00218,                0.31843,                0.01079,                 0.0034,                 3.1315,                 4.2637,                 4.1501,             0.00023455,             0.00023455,             0.00023455
                     12,                 3.2708,                 3.9682,                  4.191,                0.00208,                0.30623,                0.01744,                 0.0055,                 3.1279,                 4.2651,                 4.1481,             0.00024423,             0.00024423,             0.00024423
